WORD,MEANING,PART OF SPEECH
acretilth,᛫ agriculture ᛫,N
addeem,᛫ to declare or determine ; esp judicially ᛫ to adjudge ᛫,V
adder,᛫ a viper ᛫,N
adderbiter,᛫ an ichneumon ᛫ an Egyptian mongoose ᛫ a mongoose [ᚹ] ᛫,N
adderbolt,᛫ a dragonfly ᛫,N
adderkin,᛫ a Serpentes animal ? ᛫,N
adderwort,᛫ a Persicaria bistorta plant ᛫,N
addle,᛫ liquid filth ᛭ to confuse ᛫ to muddle ᛭ putrid ᛫ rotten ᛫ idle ᛫ vain ᛫ unsound ᛫,N᛭V᛭AJ
addle,᛫ to earn ᛫ to gain ᛫ to procure ᛫ to save up money ᛫ to grow ᛫ to thrive ᛫ to flourish ᛫ to yield fruit ᛫,V
addled,᛫ confused ᛫,AJ
adle,᛫ illness ᛫ ailment ᛫ disease ᛫,N
ado,᛫ to do away with ᛫ to take away ᛫ subtract ᛫ to remove ᛫,V
ado,᛫ trouble ᛫ difficulty ᛫ fuss ᛫ bustling activity ᛫,N
adread, ᛫ frightened ᛫ terrified ᛫ scared ᛫ afraid ᛫,AJ
adrench,᛫ to drown ᛫ to sink ᛫ to overwhelm ᛫ to suffocate ᛫,V
adwash,᛫ to extinguish ᛫ to blot out ᛫ to delete ᛫ to quench ᛫,V
afar,᛫ at a distance ᛫,AV
afear,᛫ to frighten ᛫ to terrify ᛫,V
afeared,᛫ frightened ᛫ terrified ᛫ afraid ᛫,AJ
Affer,᛫ an African ᛫,N
afford,᛫ to be able to pay for ᛫ to provide ᛫,V
afield,᛫ in a field ᛫ to a field ᛫ away from home ᛫ off-topic ᛫,AV
afire,᛫ to castrate ᛫,V
afired,᛫ a eunuch ᛫ a castrated animal ᛫,N
afoot,᛫ in action ᛫ in process ᛫ in the area ᛫,AV
afore,᛫ before ᛫ in front of ᛫ opposite ᛫,AV&amp;P
aforesaid,᛫ aforementioned ᛫,AJ
aforetime,᛫ the past ᛭ past ᛫ previous ᛫,N᛭AJ
aforetimes,᛫ in the past ᛫ previously ᛫,AV
afoul,᛫ into conflict or difficulty with ᛫,AV
afrain,᛫ to question ᛫,V
Africk,᛫ Africa ᛫,N(P)
aft,᛫ a stern of a vessel ᛭ located at the back of a vehicle ᛭ at near or towards a vessel's stern ᛫,N᛭AJ᛭AV
after,᛫ post- ᛫,PREFIX
afterbear,᛫ a descendant ᛫,N
afterbirth,᛫ a placenta ᛫,N
afterborn,᛫ posthumous ( born after father's death ) ᛫,AJ
afterbrain,᛫ a myelencephalon ᛫,N
aftercomer,᛫ a successor ᛫,N
aftercoming,᛫ a sequel ᛫ a consequence ᛫ a result ᛭ succeeding ᛫,N᛭AJ
afterdeal,᛫ a disadvantage ᛫,N
afterdeath,᛫ post-mortem ᛫,AJ
afterdoomsday,᛫ post-apocalyptic ᛫,AJ
afterganger,᛫ a follower ᛫ a successor ᛫,N
afterhand,᛫ subsequently ᛫,AV
afterling,᛫ an after follower ᛫ a descendant ᛫,N
Afterlithe,᛫ July ᛫,N(P)
aftermath,᛫ consequences ( usually of something bad ) ᛫,N
aftermidday,᛫ afternoon ᛫,N
afters,᛫ dessert ᛫ sweets ᛫ the last course of a meal ᛫,N
afterspeak,᛫ to claim ( possession ) ᛫,V
afterspeech,᛫ a claim ( of possession ) ᛫,N
aftertime,᛫ the future ᛫,N
afterword,᛫ an epilogue ᛫ a postscript ᛫,N
Afteryule,᛫ January ᛫,N(P)
againbite,᛫ remorse ᛫,N
againbuy,᛫ to ransom ᛫,V
against,᛫ versus ᛫ contrary to ᛫ in opposition to ᛫,P
agame,᛫ in jest ᛫ jestingly ᛫ playfully ᛫,AV
aghast,᛫ horrified ᛫ shocked ᛫,AJ
agin,᛫ to commence ᛫,V
ago,᛫ to proceed ᛫ to pass ( to go by ) ᛫ to pass away ᛫ to die ᛫ to elapse ᛫ to come to pass ᛫ to travel ᛫ tomove ᛫ to depart ᛫,V
agone,᛫ past ᛫,AJ
agraith,᛫ to make ready ᛫ prepare ᛫ to dress a wound ᛫ to adorn ᛫ to embellish ᛫,V
agraithing,᛫ embellishment ᛫ ornament ᛫,N
ahap,᛫ fitting ᛫ suitable ᛫,AJ
aheave,᛫ to heave up ᛫ to raise ᛫ to erect ᛫ to elevate ᛫ to exalt ᛫,V
ahir,᛫ to imitate ᛫ to emulate ᛫ to simulate ᛫,V
ahirring,᛫ imitation ᛫ emulation ᛫ simulation ᛫,N
ail,᛫ ailment ᛭ to make suffer ᛫ to trouble ᛫ to pain ᛭ troublesome ᛫ painful ᛫,N᛭V᛭AJ
airt,᛫ a direction ᛫ a guidance ᛭ to direct ᛫ to guide ᛫,N᛭V
ait,᛫ a small island ᛫ an eyot ᛫ an islet ᛫,N
akin,᛫ related ᛫,AJ
alack,᛫ alas ! ᛫,I
albeit,᛫ though ᛫,C
Albert Mere,᛫ Lake Albert ᛫,N(P)
alder,᛫ a parent ᛫ an ancestor ᛫ an elder ᛫ a chief ᛫ a leader ᛫ a ruler ᛫,N
alderbishop,᛫ an archbishop ᛫,N
alderborough,᛫ a metropolis ᛫,N
alderdeemer,᛫ a supreme court judge ᛫,N
alderdom,᛫ authority ᛫ eldership ᛫ magistracy ᛫ principality ᛫,N
alderman,᛫ an elected member of a city council ᛫ a baillie ᛫,N
aleater,᛫ an omnivore ᛫,N
aleconner,᛫ an official charged with tasting and testing ale and beer ᛫,N
alee,᛫ on the lee side of a ship ᛫,AV
aleese,᛫ to save ᛫ to deliver ᛫ to redeem ᛫,V
aleesedness,᛫ salvation ᛫ deliverance ᛫ redemption ᛫,N
alehouse,᛫ a bar ᛫ a tavern ᛫ a pub ( public house ) ᛫,N
aleknight,᛫ a man who drinks alcohol ᛫,N
alewife,᛫ a woman who keeps an alehouse ᛫,N
alfather,᛫ an epithet used for a head god ᛫,N
alight,᛫ to descend ᛫ to exit ᛫ to dismount ᛫ to disembark ᛫,V
alighten,᛫ enlighten ᛫ illuminate ᛫,V
alike,᛫ similar ᛭ similarly ᛫,AJ᛭AV
alkin,᛫ of every kind ᛫ universal ᛫,AJ
alknowing,᛫ omniscient ᛫,AJ
alknowingness,᛫ omniscience ᛫,N
all,᛫ omni- ᛫,PREFIX
all,᛫ entirely ᛫ totally ᛫ completely ᛫,AV
all told,᛫ in total ᛫,P
allay,᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to alleviate ᛫ to abate ᛫ to mitigate ᛫ to subside ᛫,V
allings,᛫ entirely ᛫ sufficiently ᛫,AV
allness,᛫ totality ᛫ universality ᛫,N
allot,᛫ to appoint ᛫ to assign ᛫,V
allow,᛫ aloe ᛫,N
allow,᛫ to defend ᛫,V
ally,᛫ of all ᛫ universal ᛫ catholic ᛫,AJ
Almannish,᛫ Alemannic speech ᛭ Alemannic ᛫,N᛭AJ
almight,᛫ omnipotence ᛫,N
almighty,᛫ omnipotent ᛫,AJ
almsful,᛫ charitable ᛫,AJ
almsman,᛫ a taker of alms ᛫ a beggar ᛫ a giver of alms ( an almoner ) ᛫,N
aloft,᛫ at to or in the air ᛫ above ᛫ up ᛫,AV
aloneness,᛫ solitude ᛫,N
along of,᛫ because of ᛫,P
aloom,᛫ frequently ᛫,AV
alow,᛫ low down ᛭ below ᛫,AV᛭P
alse,᛫ totally ᛫ entirely ᛫,AV
alseeing,᛫ omnipercipient ᛫,AJ
alsuch,᛫ exactly ᛫ just ᛫ exactly as ᛫ just as ᛫,AV
altew,᛫ sound ᛫ healthy ᛫,AJ
altheedish,᛫ international ᛫,AJ
alther,᛫ ( modifies an adjective's superlative form in a way similar to the " very " in " very best " ) ᛫,PREFIX
altogether,᛫ completely ᛫ totally ᛫ in total ᛫ in general ᛫ for the most part ᛫ overall ᛫,AV
alway,᛫ perpetually ᛫ continually ᛫,AV
alwhere,᛫ everywhere ᛫,AV
amain,᛫ with all one's might ᛫ with full speed ᛫ in great haste ᛫ to a high degree ᛫,AV
amaze,᛫ to astonish ᛫,V
amazedness,᛫ amazement ᛫,N
amber,᛫ a bucket ᛫,N
amid,᛫ during ᛭ in the middle of ᛫,AV᛭P
amind,᛫ memory ᛫ a memory ᛫ a recollection ᛫,N
amiss,᛫ faulty ᛫ out of order ᛫ wrong ᛭ wrongly ᛫ astray ᛫,AJ᛭AV
anclee,᛫ an ankle ᛫,N
and,᛫ an ampersand ( &amp; or ⁊ ) ᛫,N
and,᛫ ( denotes return action ) ᛫,PREFIX
and so forth,᛫ et cetera ᛫,N
andestone,᛫ andesite ᛫,N
andet,᛫ to confess ᛫,V
andetter,᛫ a confessor ᛫,N
andeven,᛫ a quality ᛫ a quantity ᛫ an extent ᛫ a capacity ᛫ an amount ᛫ a proportion ᛫,N
anent,᛫ concerning ᛫,P
anew,᛫ to restore to an original state ᛫,V
ang,᛫ vexation ᛫ trouble ᛭ vexed ᛫ troubled ᛫,N᛭AJ
ang,᛫ ( denotes tightness and vexation ) ᛫,PREFIX
angbreast,᛫ a tight vexation of the breast ᛫ asthma ᛫,N
angetful,᛫ sensible ᛫ intelligible ᛫,AJ
angetfully,᛫ sensibly ᛫ intelligibly ᛫,AV
angetless,᛫ senseless ( as in lacking sensation ) ᛫ senseless ( as in irrational ; nonsensical ; or foolish ) ᛫,AJ
angettle,᛫ intelligent ᛫ sensible ᛫ discerning ᛫,AJ
angetty,᛫ sensational ( as in sensory ) ᛫ sensible ᛫,AJ
angmood,᛫ anxiety ᛫ a vexed mood ᛫,N
angness,᛫ anxiety ᛫ distress ᛫,N
angsome,᛫ troublesome ᛫,AJ
anker,᛫ an anchorite ᛫ an anchoret ᛫,N
ankerman,᛫ an anchorman ᛫,N
anklebone,᛫ a tarsal ᛫,N
anlet,᛫ a face ᛫ an appearance ᛫,N
anletbone,᛫ a facial bone ᛫,N
anlikeness,᛫ an image ᛫ a figure ᛫ resemblance ᛫ a model ᛫,N
anneal,᛫ to ignite ᛫ to inflame ᛫ to incite ᛫ to temper through heating ᛫,V
anon,᛫ instantly ᛫ immediately ᛫,AV
anothergates,᛫ a different kind of ᛫,AJ
anqueath,᛫ a response ᛫ an answer ᛫ a reply ᛭ to respond ᛫ to answer ᛫ to reply ᛫,N᛭V
ansaker,᛫ a denier ᛫ a renouncer ᛫ an apostate ᛫ an opposer ᛫,N
ansen,᛫ a face ᛫ a countenance ᛫ an aspect ᛫ a form ᛫ a figure ᛫ an appearance ᛫,N
ansenstone,᛫ a fossil ᛫,N
antem,᛫ an anthem ᛫,N
antimber,᛫ matter ( mass noun ) ᛫ material ( mass noun ) ᛫ substance ( mass noun ) ᛫ a theme ? ᛫ a topic ? ᛫ asubject ? ᛫,N
anvil,᛫ an incus ( bone ) ᛫,N
anward,᛫ present ᛫ current ᛫ contemporary ᛫ in one's presence ᛫,AJ
anward tide,᛫ the present tense ᛭ of the present tense ᛫,N᛭AJ
anwarden,᛫ to make present ᛫ to update ᛫ to modernize ᛫,V
anwardening,᛫ an update ᛫ modernization ᛫,N
anword,᛫ an answer ᛭ to answer ᛫,V
anwork,᛫ matter ᛫ material ᛫ substance ᛫,N
anyet,᛫ perception ᛫ sensation ᛫ understanding ᛫ a sense ( such as sight ) ᛫ an explanation ᛫ sense ( as in makesense ) ᛫,N
anywise,᛫ in any way or manner ᛫,AV
ape,᛫ a Hominoid animal ( an ape ) ᛫ a Simian animal ( a monkey ) ᛭ to imitate ᛫,N᛭V
apebear,᛫ a koala ᛫,N
apebreadtree,᛫ a baobab ᛫,N
apefox,᛫ a Didelphimorphia animal ( a possum ; an opossum ) ᛫,N
apely,᛫ simian ᛫,AJ
aper,᛫ a copycat ᛫ an imitator ᛫,N
appleleaf,᛫ a Viola plant ( a violet ) ᛫,N
applewine,᛫ apple cider ᛫,N
aquine,᛫ to dwindle away ? ᛫,V
Araby,᛫ Arabia ᛫,N(P)
arade,᛫ instructed ᛫ skilled ᛫ expert ᛫ educated ᛫,AJ
aread,᛫ to guess ᛫ to conjecture ᛫ to form or render an opinion ᛫ to estimate ᛫ to interpret ᛫,V
areading,᛫ an ordinance ᛫ a decree ᛫,N
argh,᛫ timid ᛫ cowardly ᛫ pusillanimous ᛫,AJ
arghness,᛫ cowardice ᛫,N
arise,᛫ to emerge ᛫ to become apparent ᛫ to come into being ᛫,V
arisen,᛫ proper ᛫ fitting ᛫ seemly ᛫,AJ
arist,᛫ an arising ᛫ the rising of the sun ᛫,N
arkenstone,᛫ a precious stone ᛫ a jewel ᛫,N
arm,᛫ poor ᛫ unwealthy ᛫ pitiful ᛫ indigent ᛫,AJ
armbigh,᛫ a bracelet for wearing on an arm ᛫ an armlet ᛫,N
armbone,᛫ a humerus ᛫,N
armcary,᛫ sad ᛫ miserable ᛫,AJ
Armeny,᛫ Armenia ᛫,N(P)
arming,᛫ a poor creature ᛫ a wretch ᛫,N
armth,᛫ poverty ᛫,N
arose,᛫ to lay open ᛫ to discover ᛫ to try ( to put to a test ) ᛫,V
arown,᛫ a mystery ᛫ a sacrament ᛫ mysterium ᛫,N
arrowblaster,᛫ an arbalest ( an arbalist ; an arbelest ) ,N
arrowmaker,᛫ a fletcher ᛫,N
arse,᛫ a derrière ᛫ a posterior ᛫,N
arsefoot,᛫ a Podicipedidae bird ( a grebe ) ᛫,N
arseling,᛫ backwards ᛫,AV
arsetril,᛫ an anus ᛫,N
arveth,᛫ tribulation ᛫ affliction ᛫ trouble ᛫ labour ᛫ labour ( of pregnancy ) ᛫ toil ᛭ difficult ᛫ ,N᛭AJ
arveth,᛫ ( denotes difficulty and toil ) ᛫,PREFIX
arvethhield,᛫ ill-inclined ᛫ ill-natured ᛫,AJ
arvethly,᛫ with difficulty ᛫,AJ
arvethness,᛫ toil ᛫ hardship ᛫,N
arvethright,᛫ hard to correct ᛫,AJ
arvethrow,᛫ a difficult time ᛫ a time of tribulation ᛫,N
arvethsithe,᛫ a laborious journey ᛫ misfortune ᛫ calamity ᛫,N
arvethteachy,᛫ difficult to show ᛫ difficult to prove ᛫,AJ
as an aside,᛫ in passing ᛫ en passant ᛫,PHRASE
asake,᛫ to refuse to acknowledge a charge ᛫ to deny ᛫,V
aseen,᛫ evident ᛫ visible ᛫ apparent ᛫,AJ
aset,᛫ to appoint ᛫,V
Asey,᛫ Asia ᛫,N(P)
ash,᛫ ash ᛭ to turn to ash ᛫ to incinerate ᛫ to cremate ᛫,N᛭V
ashen,᛫ made from the ash tree ᛫ of or resembling ashes ᛫ pale ᛫,AJ
asher,᛫ an incinerator ᛫ a cremator ᛫ a crematory furnace ᛫ a cremation chamber ᛫,N
ashes,᛫ cremains ᛫,N
ashgrey,᛫ cinereous ᛫,AJ
ashhouse,᛫ a crematorium ᛫ a crematory ᛫,N
ashing,᛫ incineration ᛫ cremation ᛫,N
ashpan,᛫ an ashtray ᛫,N
aside,᛫ a digression ᛫,N
asit,᛫ to oppress ᛫ to occupy ᛫,V
asithe,᛫ a comrade ᛫,N
ask,᛫ a lizard ᛫,N
ask,᛫ a question ᛫ an inquiry ᛫ a request ᛭ to request ᛫ to inquire ᛫,N᛭V
askeel,᛫ a Halosauridae fish ( a halosaur ) ᛫,N
asker,᛫ a plaintiff ᛫ a prosecutor ᛫ a claimant ᛫,N
asker,᛫ a question mark ᛫,N
asking,᛫ questioning ᛫ inquiry ᛫ querying ᛫ petitioning ᛫ requesting ᛫ petition ᛫,N
askingly,᛫ interrogative ( grammar ) ᛫,AJ
aslake,᛫ to abate ᛫ to diminish ᛫ to moderate ᛫ to mitigate ᛫ to appease ᛫ to satisfy ᛫,V
asoothe,᛫ to prove ᛫ to confirm ᛫ to verify ᛫,V
aspen,᛫ a Populus tree [ᚹ] ᛫ a poplar ᛫ a cottonwood ᛫ an aspen ᛫,N
Assyrish,᛫ Assyrian ᛫,AJ(P)
Assyry,᛫ Assyria ᛫,N(P)
astir,᛫ to activate ᛫ to put in motion ᛭ active ᛫ in motion ᛫,AJ
astride,᛫ with legs on each side ᛭ with legs on each side of ᛫,AV᛭P
asunder,᛫ apart ᛫,AV
asunderhood,᛫ segregation ᛫ apartheid ᛫,N
asweeve,᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to appease ᛫ to put to rest ᛫ to soothe ᛫,V
at a braid,᛫ in a moment ᛫ momentarily ᛫,AV
at once,᛫ simultaneously ᛫ contemporaniously ᛫ equally ᛫ immediately ᛫ instantly ᛫ summarily ᛫,AV
at unset steven,᛫ unexpectedly ᛭ by chance ᛫,AV
atbraidingly,᛫ ablative ( grammar ) ᛫,AJ
atburst,᛫ to break away ᛫ to escape ᛫,V
atease,᛫ to tear ᛫ to tease ( as in to pull apart ) ᛫,V
atell,᛫ number ( grammatical term ) ᛫ a register ᛫ a catalogue ᛫ a catalog ᛭ to register ᛫ to catalog ᛫ tocatalogue ᛫,N
atew,᛫ to appear ᛫ to display ᛫ to manifest ᛫,V
atfang,᛫ to claim lost or stolen property ᛫,V
atgo,᛫ to go away ᛫ to pass away ᛫,V
Athabasca Mere,᛫ Lake Athabasca ᛫,N(P)
athel,᛫ a noble ᛭ noble ᛫,N᛭AJ
athelborn,᛫ nobleborn ᛫ highborn ᛫ patrician ᛫,AJ
athelen,᛫ to ennoble ᛫,V
atheling,᛫ a noble ᛫ a prince ᛫,N
athelingen,᛫ a princess ᛫,N
athelkind,᛫ of noble kind or origin ᛫,AJ
athelly,᛫ nobly ᛫ elegantly ᛫,AV
athelman,᛫ a nobleman ᛫,N
athelness,᛫ nobility ᛫,N
athelwhite,᛫ a Leontopodium alpinum plant ᛫ edelweiss ᛫,N
athelwield,᛫ aristocracy ( the political system ) ᛫,N
atithe,᛫ to grant ᛫ to allow ᛫,V
atlast,᛫ finally ᛫ ultimately ᛫,AV
atle,᛫ terrible ᛫ horrible ᛫ dire ᛫ repulsive ᛫ ugly ᛫ hideous ᛫,AJ
atley,᛫ hideous ᛫ ugly ᛫,AJ
atone,᛫ to make amends ᛫,V
atsake,᛫ to deny ᛫ to abjure ᛫ to renounce ᛫ to repudiate ᛫ to disavow ᛫ to disown ᛫,V
atsammen,᛫ together ᛫,AV
atsit,᛫ to resist ᛫ to oppose ᛫,V
atstall,᛫ a station ᛫ a camp ᛫,N
atter,᛫ poison ᛫ venom ᛫ pus ᛭ to poison ᛫ to envenom ᛫,N
attercop,᛫ a spider ᛫,N
attercraft,᛫ the art of poisoning ᛫ wicked sorcery ᛫,N
atterdeer,᛫ a poisonous animal a venomous animal ᛫,N
atterling,᛫ a malicious person ᛫,N
atterloath,᛫ an antidote ᛫,N
attern,᛫ poisonous ᛫ venomous ᛫ cruel ᛫ ill-natured ᛫,AJ
attery,᛫ venomous ᛫ poisonous ᛫,AJ
Attle,᛫ Lazio ? ᛫ Italy ? ᛫,N(P)
Attler,᛫ a Latin ? ᛫ an Italian ? ᛫,N(P)
atwain,᛫ in two parts ᛫,AV
atween,᛫ between ᛫,P
atwind,᛫ to escape ᛫,V
atwist,᛫ substance ᛫,N
atwite,᛫ to attribute to ᛫ to charge ᛫ to blame ᛫,V
aught,᛫ property ᛫ possession ᛫,N
aught,᛫ anything ᛫,N
aught,᛫ deliberation ᛫ evaluation ᛫ meditation ᛭ to deliberate ᛫ to evaluate ᛫ to meditate on ᛫,N᛭V
Australia,᛫ Australia ᛫,N(P)
avel,᛫ power ᛫ strength ᛫,N
aver,᛫ vehement ᛫,AJ
awe,᛫ admiration tinged with fear ᛭ to inspire awe ᛫,N᛭V
awesome,᛫ incredible ᛫ awe-inspiring ᛫,AJ
awful,᛫ horrible ᛫,AJ
awin,᛫ strife ᛫ struggle ᛫ war ᛫ conflict ᛫,N
awk,᛫ perverse ᛫ sinister ᛫,AJ
awn,᛫ one of the slender bristles that terminate the glumes of the spikelet in some cereal and other grasses ᛫,N
awork,᛫ a fortress ᛫ a fort ᛫ a castle ᛫,N
awortwale,᛫ to uproot ᛫ to eradicate ᛫ to exterminate ᛫ to extirpate ᛫,V
awrack,᛫ wrecked ᛫ in ruins ᛫,AV
awry,᛫ contorted ᛫ twisted ᛫ bent ᛫ out of place ᛫ deviant ᛫ perverse ᛫,AJ
axe,᛫ an axe ᛫ a hatchet ᛭ to strike with an axe ᛫ to cancel ᛫ to cut down ᛫ to remove something ᛫,N᛭V
axle,᛫ an axis ᛫ a shoulder ᛫,N
axlespan,᛫ a crossbar ᛫ a crosspiece ᛫,N
ay,᛫ eternal ᛭ always ᛫ ever ᛫ continually ᛫,AJ᛭AV
ayen,᛫ re- ( in instances which denote a return to a person ; place ; state ; or condition ) ᛫,PREFIX
ayen,᛫ again ᛫ against ᛫ in opposition to ᛫ in return ᛫ in exchange ᛭ in front of ᛫ against ᛫ in opposition to ᛫as protection against ᛫,AV᛭P
ayenst,᛫ back again ᛭ against ᛭ facing ( an event ) ᛫ anticipating ᛫ expecting ᛫ in contrast with ᛫,AV᛭P᛭C
ayet,᛫ to perceive ᛫,V
Babilon,᛫ Babylon ᛫,N(P)
Babilony,᛫ Babylonia ᛫,N(P)
babish,᛫ infantile ᛫,AJ
babyhood,᛫ infancy ᛫,N
Babylonish,᛫ Babylonian ᛫,AJ(P)
back,᛫ to support ᛫ to sponsor ᛫,V
backbite,᛫ to talk maliciously about someone who is not present ᛫,V
backbone,᛫ the ridgebone ᛫ the spine ᛫,N
backen,᛫ to delay ᛫ to retard ᛫,V
backer,᛫ a supporter ᛫ a sponsor ᛫,N
backfriend,᛫ a friend who is secretly an enemy ᛫,N
backhanded,᛫ insincere ᛫ sarcastic ᛫,AJ
backleech,᛫ a physiatrist ᛫,N
backridgebone,᛫ a thoracic vertebra ᛫,N
backslide,᛫ to regress ᛫ to lapse morally or in the practice of religion ᛫,V
backstab,᛫ to attack someone unfairly in a deceitful and treacherous way ᛫ to betray ᛫,V
backstabber,᛫ a traitor ᛫ a betrayer ᛫,N
backward,᛫ retrograde ᛫ socially unsophisticated ᛫ socially barbaric ᛫,AJ
backwater,᛫ a remote place ᛫ water held back by an obstruction ᛭ to vacillate on a long-held position ᛫,N᛭V
backwoods,᛫ a woody countryside ᛫,N
badblood,᛫ feelings of ill will ᛫ a serious feud ᛫ an inherited immoral nature ᛫ a long-standing grudge ᛫,N
baddle,᛫ a hermaphrodite ᛫ an intersex person ᛫,N
badmouth,᛫ to disparage ᛫,V
badow,᛫ battle ᛫,N
bag,᛫ a sack ᛫,N
Baikal Mere,᛫ Lake Baikal ᛫,N(P)
bake,᛫ a baked good ᛫ a pie ᛫ pastry ᛭ to calcine ᛫,N᛭V
baked good,᛫ a piece of baked food ᛫ a pastry ᛫,N
bakehouse,᛫ a bakery ᛫,N
Baker Mere,᛫ Baker Lake ᛫,N(P)
bakern,᛫ a bakery ᛫,N
Balaton Mere,᛫ Balaton Lake ᛫,N(P)
bale,᛫ great evil ᛫ great woe ᛫ great sorrow ᛫,N
balecraft,᛫ the craft of evil magic ᛫,N
baleful,᛫ pernicious ᛫ forebodingly evil ᛫,AJ
balk,᛫ a ridge ᛫ a mound ᛫ an archery butt ᛫ a ridge left between furrows accidently ᛫ a blunder ᛫,N
balk,᛫ a hindrance ᛫ a check ᛫ a failure ᛭ to pass over ᛫ omit ᛫ to suddenly refuse ᛫,N᛭V
Balkash Mere,᛫ Lake Balkhash ᛫,N(P)
baller,᛫ a player of a ball game ( esp a basketball player ) ᛫ a wealthy and successful person who lives lavishly ᛫,N
ballock,᛫ a testicle ᛫,N
ballocks,᛫ testicles ᛫ nonsense ᛫,N
ballockwort ,᛫ an Orchidaceae plant ( an orchid ) ᛫,N
Balt,᛫ a speaker of a Baltic language ᛫ a Lithuanian ᛫ a Latvian ᛫,N(P)
Baltland,᛫ the Baltic states ᛫ the Baltic land region ᛫,N(P)
ban,᛫ a proclamation ᛫ an edict ᛫ a decree ᛫ an ordinance ᛭ to summon ᛫ to assemble people [ᛏ] ᛫ to muster [ᛏ] ᛫to rally [ᛏ] ᛫,N᛭V
bandog,᛫ a mastiff ᛫,N
bane,᛫ death ᛫ destruction ᛫ poison ᛫ a cause of misery ᛫ a murderer ᛫ a killer ᛫ a slayer ᛫,N
baneful,᛫ harmful ᛫ destructive ᛫ deadly ᛫ malignant ᛫ poisonous ᛫ venomous ᛫,AJ
banewort,᛫ an Atropa belladonna plant ( deadly nightshade ) ᛫,N
bangle,᛫ to fritter away ᛫ to squander ᛫ to waste ᛫,V
bank,᛫ an edge of a river lake or watercourse ᛫ an embankment ᛫,N
bare,᛫ unclothed ᛫ devoid of ᛫ basic and simple ᛫,AJ
barley moon,᛫ a full moon in August ᛫,N
barling,᛫ a pole ᛫ a beam ᛫ a rafter ᛫ a bar ᛫,N
barm,᛫ a bosom ᛫ a lap ᛫ one's possession ᛫,N
barm,᛫ beer froth ᛫ yeast ᛫ leaven ᛫ beer head ( the froth from pouring beer ) ᛫,N
barmcloth,᛫ an apron ᛫,N
barn,᛫ a child ᛫ a kid ᛫,N
barneken,᛫ pregnant ᛫,AJ
Barnick,᛫ the Bernicians ᛫,N(P)
Barnickrich,᛫ the Kingdom of Bernicia ᛫,N(P)
barnteam,᛫ offspring ᛫ lineage ᛫,N
barrow,᛫ a mountain ᛫ a hill ᛫ a mound ᛫,N
